State,Year,EC,,,,,,,,
Alabama,1948,0,,,,,,,,
Alaska,1948,0,,,,,,,,
Arizona,1948,4,,,,,,,,
Arkansas,1948,9,,,,,,,,
California,1948,25,,,,,,,,
Colorado,1948,6,,,,,,,,
Connecticut,1948,8,,,,,,,,
District of Columbia,1948,0,,,,,,,,
Delaware,1948,3,,,,,,,,
Florida,1948,8,,,,,,,,
Georgia,1948,12,,,,,,,,
Hawaii,1948,0,,,,,,,,
Idaho,1948,4,,,,,,,,
Illinois,1948,28,,,,,,,,
Indiana,1948,13,,,,,,,,
Iowa,1948,10,,,,,,,,
Kansas,1948,8,,,,,,,,
Kentucky,1948,11,,,,,,,,
Louisiana,1948,0,,,,,,,,
Maine,1948,5,,,,,,,,
Maryland,1948,8,,,,,,,,
Massachusetts,1948,16,,,,,,,,
Michigan,1948,19,,,,,,,,
Minnesota,1948,11,,,,,,,,
Mississippi,1948,0,,,,,,,,
Missouri,1948,15,,,,,,,,
Montana,1948,4,,,,,,,,
Nebraska,1948,6,,,,,,,,
Nevada,1948,3,,,,,,,,
New Hampshire,1948,4,,,,,,,,
New Jersey,1948,16,,,,,,,,
New Mexico,1948,4,,,,,,,,
New York,1948,47,,,,,,,,
North Carolina,1948,14,,,,,,,,
North Dakota,1948,4,,,,,,,,
Ohio,1948,25,,,,,,,,
Oklahoma,1948,10,,,,,,,,
Oregon,1948,6,,,,,,,,
Pennsylvania,1948,35,,,,,,,,
Rhode Island,1948,4,,,,,,,,
South Carolina,1948,0,,,,,,,,
South Dakota,1948,4,,,,,,,,
Tennessee,1948,12,,,,,,,,
Texas,1948,23,,,,,,,,
Utah,1948,4,,,,,,,,
Vermont,1948,3,,,,,,,,
Virginia,1948,11,,,,,,,,
Washington,1948,8,,,,,,,,
West Virginia,1948,8,,,,,,,,
Wisconsin,1948,12,,,,,,,,
Wyoming,1948,3,,,,,,,,
Alabama,1952,11,,,,,,,,
Alaska,1952,0,,,,,,,,
Arizona,1952,4,,,,,,,,
Arkansas,1952,8,,,,,,,,
