"","state","chl_pv","VEP","avg_poll","period","rdi_q2","gdp","mu","sigma","alpha0","beta0","alpha1","beta1","new_eb"
"1","AL",782454,3609447.04664475,38.209498,"2016-2020",34.9,-0.0949,0.258815655698358,0.00172810330009583,149.768625338546,428.900485440042,782603.768625339,2827421.94713019,0.216786203269898
"2","AK",124710,522679.480701529,44.564596,"2016-2020",24.1,-0.0949,0.346831784275116,0.00172810330009583,200.700840196232,377.968270582356,124910.700840196,398347.448972111,0.238717162618493
"3","AZ",1169979,4740309.71488653,48.4751133333333,"2016-2020",35.1,-0.0949,0.301662211709515,0.00172810330009583,174.562603805447,404.106506973141,1170153.56260381,3570734.82139351,0.246821580223996
"4","AR",418340,2140097.31495763,39.2673353333333,"2016-2020",31.3,-0.0949,0.242710842589945,0.00172810330009583,140.449267457845,438.219843320743,418480.449267458,1722195.53480095,0.195489860390794
"5","CA",8127077,25104843.604425,61.393898,"2016-2020",28.7,-0.0949,0.426496352812219,0.00172810330009583,246.800265232158,331.86884554643,8127323.80026523,16978098.4732706,0.323727827069152
"6","CO",1315973,3974405.4299465,51.7823766666667,"2016-2020",26.4,-0.0949,0.38715570695219,0.00172810330009583,224.03504867488,354.634062103708,1316197.03504867,2658787.0640086,0.331120075514473
"7","CT",887996,2582760.69871446,56.531932,"2016-2020",18.3,-0.0949,0.421358619622133,0.00172810330009583,243.827217735633,334.841893042955,888239.827217736,1695099.54060751,0.343833968653329
"8","DE",246077,691720.362018256,58.488126,"2016-2020",30.5,-0.0949,0.434762332260823,0.00172810330009583,251.583532209395,327.085578569193,246328.583532209,445970.447596825,0.355812405414586
"9","DC",254508,515248.491451914,86.1125953333333,"2016-2020",15.3,-0.0949,0.564318302615731,0.00172810330009583,326.553570370727,252.115540407861,254834.553570371,260992.606992322,0.494030894558525
"10","FL",4426577,14601066.1803787,48.521816,"2016-2020",26.7,-0.0949,0.342322948912469,0.00172810330009583,198.091716446283,380.577394332306,4426775.09171645,10174869.757773,0.303169618035959
"11","GA",1872494,6959962.72371384,47.200984,"2016-2020",28.5,-0.0949,0.30415422732269,0.00172810330009583,176.00465626437,402.664454514218,1872670.00465626,5087871.38816836,0.269040854578745
"12","HI",241895,1012859.80627427,61.1251233333333,"2016-2020",67.4,-0.0949,0.383006902993709,0.00172810330009583,221.63426397743,357.034846801158,242116.634263977,771321.841121071,0.238906100512897
"13","ID",213265,1166705.92879738,35.614298,"2016-2020",33.6,-0.0949,0.240705708561638,0.00172810330009583,139.288958332693,439.380152445895,213404.288958333,953880.308949821,0.182821129774835
"14","IL",2905253,8985442.59506144,55.478238,"2016-2020",48.8,-0.0949,0.420798371826735,0.00172810330009583,243.503019642054,335.166091136534,2905496.50301964,6080524.76115258,0.323335146624238
"15","IN",1041860,4849936.89384041,40.2198846666667,"2016-2020",28.7,-0.0949,0.25659373535305,0.00172810330009583,148.482868668106,430.186242110482,1042008.48286867,3808507.08008252,0.214824273697347
"16","IA",683182,2288536.45443637,46.9653653333333,"2016-2020",50.1,-0.0949,0.38318058579464,0.00172810330009583,221.734768849403,356.934341929186,683403.734768849,1605711.3887783,0.298544938932502
"17","KS",465936,2054025.45214465,42.4341286666667,"2016-2020",25.3,-0.0949,0.28250742138262,0.00172810330009583,163.478318319833,415.190792458755,466099.47831832,1588504.6429371,0.226856100158857
