State|1996|2000|2004|2008|2012|2016
AL|-0.171|0.102|0.295|0.084|0.403|0.617
AK|-0.221|-0.269|0.072|0.315|0.311|-0.045
AZ|0.061|0.065|-0.121|0.305|0.399|0.536
AR|0.424|0.657|0.237|0.730|0.760|0.510
CA|0.473|0.427|0.062|-0.121|-0.584|-1.300
CO|-0.256|-0.020|-0.137|0.085|-0.494|-1.460
CT|0.870|0.466|-0.051|0.015|-0.604|-0.336
DE|0.685|0.544|0.546|0.495|0.135|0.039
FL|-0.455|-0.381|-0.099|0.085|0.397|0.407
GA|-0.461|-0.479|-0.183|0.098|0.725|0.527
HI|-1.273|-0.963|-0.132|-0.050|0.247|-0.206
ID|-1.602|-1.733|-1.916|-1.594|-0.756|-0.256
IL|0.473|0.427|0.098|0.040|0.131|-0.573
IN|0.567|0.703|0.478|0.627|0.595|0.914
IA|0.370|-0.005|-0.131|-0.800|-1.278|-1.094
KS|-0.270|-0.343|-0.257|0.003|0.513|0.684
KY|0.133|0.314|0.552|0.583|0.888|0.654
LA|1.009|0.810|0.870|0.705|-0.078|-0.143
ME|-1.191|-1.414|-1.509|-1.251|-1.388|-1.091
MD|0.473|0.318|0.260|0.156|-0.436|-0.736
MA|0.274|0.182|0.227|0.307|0.400|-0.753
MI|0.907|0.816|0.483|0.542|0.690|0.820
MN|-1.097|-1.094|-0.857|-1.149|-0.569|-0.573
MS|0.589|0.731|0.904|0.806|0.585|1.302
MO|0.862|0.761|0.832|0.712|0.747|0.259
MT|-0.731|-0.604|0.257|-0.898|-0.459|-0.212
NE|-0.221|-0.121|-0.009|-0.213|-0.331|-0.401
NV|-0.234|0.007|0.266|0.432|0.053|0.347
NH|-1.573|-1.222|-1.208|-1.460|-0.577|0.622
NJ|0.473|0.427|0.103|0.372|0.051|-0.631
NM|-0.278|-0.048|0.200|0.360|0.472|0.568
NY|1.431|0.850|0.654|0.641|0.017|0.057
NC|0.384|0.318|-0.320|-0.263|-0.482|0.038
ND|-1.905|-2.225|-2.721|-2.420|-1.354|-1.221
OH|0.495|0.454|0.557|0.832|0.731|0.809
OK|-0.367|-0.156|0.101|0.253|0.429|0.419
OR|0.274|0.235|-0.809|-0.083|-1.045|-2.061
PA|0.907|0.816|0.483|0.486|0.579|0.368
RI|1.065|0.858|0.847|0.532|0.124|0.079
SC|0.506|0.694|0.926|0.862|0.739|0.696
SD|-0.154|-0.039|-0.184|0.006|0.311|0.590
TN|-0.558|0.253|0.644|0.520|0.928|0.959
TX|-0.317|0.332|0.607|0.487|0.640|0.914
UT|0.354|0.218|0.546|0.120|-0.181|-0.803
VT|-0.289|-0.873|-0.237|-0.964|-0.189|-0.106
VA|0.862|0.761|0.843|0.817|0.701|1.054
WA|0.907|0.816|0.403|0.292|-1.033|-0.619
WV|0.907|0.816|0.227|0.120|-0.150|-0.317
WI|-1.349|-1.414|-1.190|-1.188|-0.879|-0.068
WY|-1.761|-1.776|-1.509|-1.375|-0.834|0.214
