fips,county,state,state_code,male,female,median_age,population,female_percentage,lat,long,life_expectancy,mortality_risk,all_poverty,sq_miles,pct_none,pct_hs,pct_bachelors,median_household_income,pct_black,pct_asian,pct_hispanic,pct_non_hispanic_white,pct_not_proficient_in_english,pct_rural,pct_impoverished,pop_density
1001,Autauga County,Alabama,AL,26874,28326,37.8,55200,51.31521739130434,32.534922932928126,-86.6427301373947,75.66802311,58.37361637,7444.0,594.44,11.3,32.6,27.7,59338.0,19.3,1.2,3.0,74.3,1,42.0,0.13485507246376813,92.86050736827939
1003,Baldwin County,Alabama,AL,101188,106919,42.8,208107,51.376935903165204,30.727478766939267,-87.72256353282205,78.07568073,50.48666896,,1589.78,9.7,27.6,31.3,57588.0,8.8,1.2,4.6,83.1,1,42.3,,130.90301802765163
1005,Barbour County,Alabama,AL,13697,12085,39.9,25782,46.87378791404857,31.869581438362317,-85.39320978902569,75.42168312,56.25187920000001,,884.88,27.0,35.7,12.2,34382.0,48.0,0.5,4.3,45.6,2,67.8,,29.13615405478709
1007,Bibb County,Alabama,AL,12152,10375,39.9,22527,46.05584409819328,32.998628228925845,-87.12647507182314,73.96740422,61.11004622,,622.58,16.8,47.3,11.5,46064.0,21.1,0.2,2.6,74.6,0,68.4,,36.18330174435414
1009,Blount County,Alabama,AL,28434,29211,40.8,57645,50.67395264116576,33.98086883066284,-86.56738039931868,76.16445162,57.86410407,,644.78,19.8,34.0,12.6,50412.0,1.5,0.3,9.6,86.9,2,90.0,,89.40258692887497
1011,Bullock County,Alabama,AL,5663,4689,39.6,10352,45.295595054095834,32.10052546439408,-85.71567933028645,73.85905748,56.8315434,2841.0,622.81,24.8,39.7,13.3,29267.0,69.5,0.2,8.0,21.2,0,51.4,0.2744397217928903,16.621441531125065
1013,Butler County,Alabama,AL,9368,10657,40.7,20025,53.218476903870155,31.75242915567195,-86.68027562242744,73.39030249,59.32403224,,776.83,15.4,43.9,16.1,37365.0,44.6,1.3,1.5,51.3,0,71.2,,25.777840711610004
1015,Calhoun County,Alabama,AL,55315,59783,39.7,115098,51.940954664720486,33.771415664670144,-85.82603921906548,74.02281022,62.39700131,,605.87,15.9,32.4,18.0,45400.0,20.9,1.0,3.9,72.0,1,33.7,,189.97144601977323
1017,Chambers County,Alabama,AL,16257,17569,43.0,33826,51.939336604978415,32.914345351107194,-85.39203021569158,74.06034174,60.67284715,,596.53,18.6,38.4,13.2,39917.0,39.6,1.3,2.6,55.2,0,49.1,,56.70460831810639
1019,Cherokee County,Alabama,AL,12820,13033,45.9,25853,50.41194445518895,34.175904653116085,-85.60380095916831,75.0811087,58.91817248,,553.7,19.8,38.3,12.9,42132.0,4.2,0.3,1.6,91.7,0,85.7,,46.69134910601408
