"","state","inc_pv","VEP","avg_poll","period","rdi_q2","gdp","mu","sigma","alpha0","beta0","alpha1","beta1","new_eb"
"1","AL",1158889,3609447.04664475,56.591894,"2016-2020",34.9,-0.0949,0.386817479936635,0.00172810330009583,223.839327148547,354.829783630041,1159112.83932715,2450912.87642838,0.321081601792569
"2","AK",139600,522679.480701529,49.8855753333333,"2016-2020",24.1,-0.0949,0.386558670306117,0.00172810330009583,223.689562009794,354.979548768794,139823.68956201,383434.460250298,0.26721741383706
"3","AZ",1088797,4740309.71488653,45.111532,"2016-2020",35.1,-0.0949,0.279365163859999,0.00172810330009583,161.65999095338,417.009119825208,1088958.65999095,3651929.72400636,0.229695063833751
"4","AR",586711,2140097.31495763,55.071378,"2016-2020",31.3,-0.0949,0.347645451533778,0.00172810330009583,201.171684305272,377.497426473316,586912.171684305,1553763.8123841,0.274171418772525
"5","CA",4147166,25104843.604425,31.328692,"2016-2020",28.7,-0.0949,0.220378936481718,0.00172810330009583,127.526483208206,451.142627570382,4147293.52648321,20958128.7470526,0.165195131206973
"6","CO",1023416,3974405.4299465,40.27053,"2016-2020",26.4,-0.0949,0.303717210638263,0.00172810330009583,175.751768208197,402.917342570391,1023591.75176821,2951392.34728907,0.257508389030026
"7","CT",540149,2582760.69871446,34.3872173333333,"2016-2020",18.3,-0.0949,0.263148336459043,0.00172810330009583,152.275813861619,426.393296916969,540301.275813862,2043038.09201138,0.209148392403708
"8","DE",144446,691720.362018256,34.3323753333333,"2016-2020",30.5,-0.0949,0.261223576127173,0.00172810330009583,151.162014511914,427.507096266674,144597.162014512,547701.869114523,0.208865180381223
"9","DC",29937,515248.491451914,10.1292297333333,"2016-2020",15.3,-0.0949,0.101020713442961,0.00172810330009583,58.457566418257,520.211544360331,29995.4575664183,485831.702996274,0.058150209720825
"10","FL",4110677,14601066.1803787,45.05908,"2016-2020",26.7,-0.0949,0.317698828369154,0.00172810330009583,183.842498507777,394.826612270811,4110860.84249851,10490784.0069909,0.281534093238971
"11","GA",1853979,6959962.72371384,46.734258,"2016-2020",28.5,-0.0949,0.300985521338676,0.00172810330009583,174.171023990282,404.498086788307,1854153.17102399,5106388.22180063,0.266380596908076
"12","HI",124830,1012859.80627427,31.543654,"2016-2020",67.4,-0.0949,0.193326210833027,0.00172810330009583,111.871906512942,466.797204265647,124941.871906513,888496.603478536,0.123285108017082
"13","ID",355739,1166705.92879738,59.406718,"2016-2020",33.6,-0.0949,0.405323501294139,0.00172810330009583,234.548190071543,344.120920707045,355973.548190072,811311.049718082,0.304958661176544
"14","IL",2011881,8985442.59506144,38.4185626666667,"2016-2020",48.8,-0.0949,0.295594810782688,0.00172810330009583,171.051586306383,407.617524472205,2012052.05158631,6973969.21258591,0.22390911310309
"15","IN",1361812,4849936.89384041,52.5712846666667,"2016-2020",28.7,-0.0949,0.339311819645164,0.00172810330009583,196.349268950732,382.319841827856,1362008.34926895,3488507.21368224,0.280796614626315
"16","IA",687384,2288536.45443637,47.2542473333333,"2016-2020",50.1,-0.0949,0.385379697213125,0.00172810330009583,223.00732669844,355.661784080148,687607.007326698,1601508.11622045,0.300381138656409
"17","KS",553222,2054025.45214465,50.38349,"2016-2020",25.3,-0.0949,0.337087595249353,0.00172810330009583,195.062178997436,383.606931781152,553417.062178997,1501187.05907643,0.269354595590338
"18","KY",1040577,3282420.22648799,56.805532,"2016-2020",40.4,-0.0949,0.388994491247772,0.00172810330009583,225.099096348118,353.570014430471,1040802.09909635,2242196.79650242,0.317027855382974
"19","LA",1055126,3384434.69418163,53.8661973333333,"2016-2020",35.7,-0.0949,0.401386986359713,0.00172810330009583,232.270250474873,346.398860303715,1055358.27025047,2329655.09304193,0.311773738235405
"20","ME",274342,1058372.47425919,39.5689706666667,"2016-2020",41,-0.0949,0.33686487315137,0.00172810330009583,194.933296599045,383.735814179543,274536.933296599,784414.210073367,0.25925363508549
"21","MD",815004,4189616.3319449,31.0940313333333,"2016-2020",22.2,-0.0949,0.225632215054834,0.00172810330009583,130.566393248784,448.102717529804,815134.566393249,3375060.43466243,0.194533802409645
"22","MA",887779,4948028.03764248,28.76713,"2016-2020",76.3,-0.0949,0.265600529312863,0.00172810330009583,153.694822119797,424.974288658791,887932.69482212,4060674.01193114,0.17943084739597
"23","MI",1956726,7420628.34562942,43.020284,"2016-2020",54.1,-0.0949,0.347255453510255,0.00172810330009583,200.946004495795,377.723106282793,1956926.9460045,5464280.06873571,0.263693889972021
"24","MN",1123936,3973203.63348464,41.771868,"2016-2020",35.5,-0.0949,0.361318850545946,0.00172810330009583,209.084057952964,369.585052825624,1124145.08405795,2849637.21853746,0.282890455102116
"25","MS",633098,2191240.77415651,53.3880046666667,"2016-2020",40.2,-0.0949,0.359827839658269,0.00172810330009583,208.221256008431,370.447854770157,633306.221256008,1558513.22201128,0.288940872023635
"26","MO",1363860,4517924.74323584,51.1656206666667,"2016-2020",31.4,-0.0949,0.372796471165494,0.00172810330009583,215.725802470732,362.943308307856,1364075.72580247,3154427.68654415,0.301886620706137
"27","MT",236237,804250.46270928,51.6987873333333,"2016-2020",51.6,-0.0949,0.39680525525601,0.00172810330009583,229.618944211266,349.050166567322,236466.618944211,568362.512875847,0.293809716367324
"28","NE",411635,1343820.5171525,52.7430466666667,"2016-2020",23.8,-0.0949,0.373051204770416,0.00172810330009583,215.873208939378,362.79590183921,411850.873208939,932548.313054344,0.306345672786121
"29","NV",455720,1961586.59513319,43.3475093333333,"2016-2020",56.9,-0.0949,0.286601305742336,0.00172810330009583,165.8473227419,412.821788036688,455885.847322742,1506279.41692122,0.232338149915419
"30","NH",298991,1042795.40100986,43.06272,"2016-2020",21.3,-0.0949,0.344438230162207,0.00172810330009583,199.315764366115,379.353346412473,299190.315764366,744183.754356275,0.286752684710453
"31","NJ",1381755,6013655.77773498,36.844746,"2016-2020",63,-0.0949,0.313759318599226,0.00172810330009583,181.56282589231,397.106284886279,1381936.56282589,4632297.88401987,0.229777634217546
"32","NM",286886,1464514.78182007,40.6988133333333,"2016-2020",40.2,-0.0949,0.267934655584152,0.00172810330009583,155.045508893649,423.62360188494,287041.045508894,1178052.40542196,0.19591995672803
"33","NY",2204287,13604645.2471804,31.9141346666667,"2016-2020",21.8,-0.0949,0.201268415640007,0.00172810330009583,116.467815106218,462.20129567237,2204403.46781511,11400820.448476,0.162026254134304
"34","NC",2108924,7352500.7499222,46.3301666666667,"2016-2020",21.5,-0.0949,0.310342586676056,0.00172810330009583,179.58566866856,399.083442110028,2109103.58566867,5243975.83336431,0.286832694912745
"35","ND",180111,566783.096739048,57.9973146666667,"2016-2020",44.5,-0.0949,0.420653107133156,0.00172810330009583,243.418959450994,335.250151327594,180354.418959451,387007.346890376,0.317882574778908
"36","OH",2457542,8736807.84682097,46.94294,"2016-2020",37.8,-0.0949,0.346830427196907,0.00172810330009583,200.700054896992,377.969055881596,2457742.7000549,6279643.81587686,0.2812903716201
"37","OK",802204,2778218.72906224,58.576004,"2016-2020",47.1,-0.0949,0.385445108026477,0.00172810330009583,223.045177915638,355.62393286295,802427.045177916,1976370.3529951,0.288767740212183
"38","OR",677404,3024174.12916468,37.9602693333333,"2016-2020",45,-0.0949,0.312113496627987,0.00172810330009583,180.610439555713,398.058671222875,677584.610439556,2347168.1878359,0.22401321880779
"39","PA",2600504,9691159.72906941,44.097464,"2016-2020",45.3,-0.0949,0.316532374215564,0.00172810330009583,183.167507519956,395.501603258632,2600687.16750752,7091051.23067267,0.268340627930676
"40","RI",153401,786012.07415575,35.4219426666667,"2016-2020",62.5,-0.0949,0.289161794106612,0.00172810330009583,167.328998266814,411.340112511774,153568.328998267,633022.414268262,0.195232820005653
"41","SC",1015805,3709283.2473505,50.5184553333333,"2016-2020",31.6,-0.0949,0.304660644294156,0.00172810330009583,176.297704122931,402.371406655657,1015981.29770412,2693880.61875716,0.273859599247089
"42","SD",196172,631173.182139184,56.8321146666667,"2016-2020",30.2,-0.0949,0.427774566012795,0.00172810330009583,247.539927728321,331.129183050267,196419.539927728,435332.311322234,0.31091248809022
"43","TN",1317570,4909425.94675724,55.0450993333333,"2016-2020",15.8,-0.0949,0.33573062389926,0.00172810330009583,194.276941592925,384.392169185663,1317764.27694159,3592240.33892643,0.268383510818478
"44","TX",4150830,17448909.7510719,48.474498,"2016-2020",34.1,-0.0949,0.298015784046,0.00172810330009583,172.452528751883,406.216582026705,4151002.45252875,13298485.967654,0.237886770807994
"45","UT",427891,1991885.17031843,51.8100813333333,"2016-2020",31.9,-0.0949,0.322238637465183,0.00172810330009583,186.469545800481,392.199564978107,428077.4695458,1564386.36988341,0.214848300418056
"46","VT",83210,494870.952235264,30.375282,"2016-2020",57,-0.0949,0.263410471698102,0.00172810330009583,152.427503427309,426.241607351279,83362.4275034273,412087.193842615,0.168256113057363
"47","VA",1521471,6027152.41671601,40.5626626666667,"2016-2020",19.5,-0.0949,0.294135567801758,0.00172810330009583,170.207167468198,408.46194331039,1521641.20716747,4506089.87865932,0.252440128051723
"48","WA",1015335,5123019.65897035,34.2502126666667,"2016-2020",35.1,-0.0949,0.26518410414808,0.00172810330009583,153.453849739986,425.215261038602,1015488.45384974,4108109.87423138,0.198198295187214
"49","WV",414842,1423030.93340956,61.171284,"2016-2020",69.9,-0.0949,0.424301961886725,0.00172810330009583,245.530438986602,333.138671791987,415087.530438987,1008522.07208136,0.29157398889704
"50","WI",1214415,4285071.01592761,43.5614913333333,"2016-2020",30.4,-0.0949,0.362084367750471,0.00172810330009583,209.527039112992,369.142071665596,1214624.52703911,3071025.15799927,0.283416661720972
